,Zip Code,Educational,Religious,RES_RATIO,BUS_RATIO,OTH_RATIO,distance_from_19140_km,distance_from_19140_miles,Average ADA for 3 years
0,19102,20.0,79.0,0.1000000001,0.0999999999,0.1000000001,,,
1,19103,45.0,158.0,0.0714285714285714,0.0714285715,0.0714285714285714,8.165615833241128,5.0738768759168735,96.67
2,19104,32.0,86.0,0.0416666666666666,0.041666666625,0.04166666675,8.025079290556201,4.9865515438521975,90.43380952380951
3,19106,13.0,60.0,0.0909090909090909,0.0909090908181818,0.090909091,8.080482755386011,5.020977650196961,93.86166666666668
4,19107,21.0,70.0,0.125000000125,0.125,0.124999999875,,,
5,19109,,,1.0,1.0,1.0,,,
6,19111,8.0,28.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,7.764861219154609,4.824859580607319,91.23714285714286
7,19112,4.0,4.0,0.25,0.25,0.25,,,
8,19113,,,0.0,1.0,1.0,,,
9,19114,9.0,13.0,0.0769230769230769,0.076923077,0.0769230769230769,12.87749236042305,8.00170030548843,92.50666666666666
10,19115,11.0,19.0,0.08333333325,0.08333333325,0.0833333334166666,10.805833306211309,6.714431447313827,95.6377777777778
11,19116,14.0,17.0,0.1111111111111111,0.1111111111111111,0.1111111108888888,13.938925987449304,8.661244379747362,92.33333333333331
12,19118,11.0,18.0,0.0909090908181818,0.090909091,0.0909090907272727,9.398690411165187,5.840073659476124,93.03333333333336
13,19119,16.0,25.0,0.0833333333333333,0.0833333333333333,0.08333333325,6.278579185556231,3.901327027108261,92.34222222222222
14,19120,8.0,22.0,0.05,0.05,0.05,2.450218204494936,1.5224945359452229,89.0730303030303
15,19121,12.0,34.0,0.0526315788947368,0.0526315789473684,0.0526315789473684,5.9581002784045936,3.702190728092541,83.60733333333334
16,19122,11.0,28.0,0.0833333333333333,0.0833333334166666,0.0833333333333333,5.372995653663149,3.3386236823123245,85.44238095238096
17,19123,16.0,35.0,0.1,0.0999999999,0.1,6.372148018724021,3.959467986542564,91.67083333333332
18,19124,17.0,25.0,0.0454545454090909,0.0454545454090909,0.0454545455,2.3929309544097603,1.4868979000725473,85.21666666666667
19,19125,15.0,20.0,0.0625000000625,0.0625,0.0625,2.5346907411173447,1.5749833204988255,86.87619047619047
20,19126,8.0,16.0,0.1111111109999999,0.1111111112222222,0.1111111111111111,4.559389361043825,2.833072326661163,89.5988888888889
21,19127,6.0,4.0,0.2,0.2000000001999999,0.2000000002,9.116595295645606,5.664787935450606,92.99666666666668
22,19128,8.0,23.0,0.0666666667333333,0.0666666668,0.0666666666666666,9.76737047844191,6.069160761559928,90.3472222222222
23,19129,4.0,10.0,0.1,0.0999999999,0.1,4.977868913445589,3.093103384616599,87.24000000000001
24,19130,17.0,36.0,0.0666666666,0.0666666666,0.0666666666666666,6.405848168851309,3.9804082825273066,89.43111111111112
25,19131,25.0,26.0,0.04999999995,0.04999999995,0.04999999995,8.783058046009229,5.4575375611068,85.96799999999999
26,19132,8.0,23.0,0.0588235294705882,0.0588235295882352,0.0588235293529411,3.681282359926394,2.287442101269823,82.80199999999999
27,19133,6.0,5.0,0.0769230768461538,0.0769230769230769,0.076923077,2.3834628485492337,1.481014693665886,83.83722222222222
28,19134,6.0,23.0,0.052631579,0.0526315788947368,0.052631579,3.3467166434034907,2.0795526674282705,86.55814814814815
